queue_length,active_counters,avg_proc_time,crop_type,hour_of_day,day_of_week,waiting_minutes
39,3,7.29,SOYBEAN,12,5,105.6
52,5,4.66,CHANA,9,1,44.0
29,4,5.76,SOYBEAN,15,3,40.5
15,5,6.62,PADDY,13,1,22.7
43,4,5.89,PADDY,10,2,83.4
8,4,6.92,WHEAT,16,2,12.2
21,2,5.04,COTTON,11,3,79.3
39,4,7.38,PADDY,10,4,93.2
58,4,5.66,PADDY,14,2,97.1
19,6,5.52,SOYBEAN,15,3,13.9
23,3,7.12,SOYBEAN,14,0,53.7
11,4,6.19,PADDY,8,4,18.0
11,4,6.05,WHEAT,8,2,13.8
24,4,6.68,SOYBEAN,12,3,43.8
53,4,6.24,PADDY,15,3,86.3
36,4,4.99,COTTON,10,0,69.4
40,3,6.52,SOYBEAN,15,0,80.6
24,4,4.9,PADDY,10,4,37.7
3,4,6.92,CHANA,11,5,9.8
22,5,7.47,SOYBEAN,14,2,31.4
53,5,5.63,CHANA,10,3,64.2
2,3,5.83,SOYBEAN,11,4,5.1
24,3,4.64,SOYBEAN,15,4,34.4
44,6,4.54,MAIZE,11,0,38.0
30,4,7.26,MAIZE,16,3,52.4
38,5,4.89,CHANA,11,1,42.1
2,3,5.84,WHEAT,11,5,4.6
21,4,6.95,PADDY,12,5,48.0
33,5,7.17,WHEAT,8,0,44.0
12,5,6.06,WHEAT,14,3,13.7
58,3,6.2,MAIZE,16,4,110.3
22,4,6.51,PADDY,16,5,38.9
44,4,7.38,MAIZE,8,4,75.6
25,2,6.31,MAIZE,13,2,80.8
49,4,6.18,MAIZE,10,1,86.7
27,4,4.54,COTTON,11,0,45.5
59,5,4.74,WHEAT,15,5,53.1
42,4,6.23,WHEAT,11,2,77.0
28,3,7.31,WHEAT,15,2,64.8
16,2,7.1,COTTON,11,1,85.1
15,4,7.45,SOYBEAN,16,0,24.2
47,3,6.08,CHANA,13,0,92.1
51,4,6.86,CHANA,8,4,77.5
44,4,7.02,COTTON,9,0,93.2
55,5,6.44,WHEAT,14,2,70.8
52,6,5.52,CHANA,14,4,44.1
57,4,5.91,COTTON,10,0,128.8
3,5,7.07,MAIZE,8,1,5.4
37,4,5.4,PADDY,15,2,54.1
51,4,7.27,CHANA,14,3,90.3
7,3,5.19,PADDY,15,1,14.4
21,4,6.75,WHEAT,8,1,33.1
9,4,6.39,CHANA,10,0,15.8
39,5,6.75,COTTON,9,4,62.9
18,4,5.81,SOYBEAN,8,4,23.3
4,5,7.3,CHANA,12,2,9.2
25,4,6.4,CHANA,10,0,42.2
14,3,5.36,CHANA,15,4,20.1
50,6,6.42,CHANA,13,5,51.4
58,4,5.36,COTTON,16,3,93.9
9,4,5.38,COTTON,16,5,15.1
26,4,5.7,SOYBEAN,13,0,38.1
53,3,7.06,COTTON,9,0,151.0
2,4,6.0,COTTON,16,4,6.8
20,4,6.54,WHEAT,9,1,32.9
28,4,5.68,WHEAT,10,0,45.7
47,6,5.29,PADDY,13,1,48.6
7,4,7.36,SOYBEAN,9,2,12.4
44,3,6.31,WHEAT,12,2,108.0
8,4,7.3,SOYBEAN,9,4,10.1
47,5,5.11,SOYBEAN,11,2,56.7
35,3,4.94,CHANA,10,5,60.9
14,3,7.07,MAIZE,12,5,39.4
17,2,6.54,MAIZE,13,5,58.3
36,2,5.06,MAIZE,14,4,92.5
50,5,5.31,SOYBEAN,15,4,50.8
40,4,6.9,CHANA,16,5,60.4
4,4,5.86,PADDY,11,1,8.0
2,4,6.51,PADDY,11,5,2.0
6,4,5.46,MAIZE,14,1,5.3
54,6,5.64,PADDY,16,2,53.7
42,6,7.47,CHANA,9,1,47.7
4,4,5.24,MAIZE,13,0,2.6
54,5,6.02,CHANA,15,3,57.0
29,4,7.03,PADDY,12,0,67.5
18,3,5.22,MAIZE,12,0,38.1
26,3,5.75,CHANA,15,4,45.0
44,4,6.35,COTTON,8,3,85.1
34,4,5.94,COTTON,13,4,67.8
10,6,5.88,CHANA,16,1,7.5
36,4,5.59,CHANA,13,5,46.9
14,5,6.26,WHEAT,14,1,17.5
31,4,6.37,WHEAT,11,3,56.6
48,5,6.46,SOYBEAN,8,2,55.8
15,4,4.71,MAIZE,16,1,16.4
8,4,6.39,SOYBEAN,13,0,12.3
14,4,7.36,SOYBEAN,10,3,29.0
23,5,6.12,PADDY,11,3,36.5
57,2,6.65,COTTON,13,1,255.8
40,5,6.17,PADDY,13,1,58.4
21,3,7.06,MAIZE,16,4,45.3
16,4,7.29,CHANA,11,4,29.9
45,5,5.05,WHEAT,12,0,53.5
18,3,5.81,MAIZE,12,3,42.0
47,3,5.68,CHANA,10,2,97.4
53,4,5.72,MAIZE,9,2,71.6
24,5,4.88,CHANA,15,3,21.5
26,2,6.94,WHEAT,16,0,87.5
25,5,4.61,CHANA,16,4,21.4
45,3,6.08,SOYBEAN,12,4,102.5
41,6,6.49,MAIZE,16,4,40.6
29,6,5.12,WHEAT,11,2,30.5
15,4,7.22,CHANA,9,2,20.0
45,4,7.02,SOYBEAN,10,0,90.4
1,4,5.91,SOYBEAN,8,2,2.4
25,4,5.73,COTTON,12,1,56.6
7,2,5.21,SOYBEAN,8,2,14.8
9,2,6.69,PADDY,8,4,33.8
24,2,4.9,WHEAT,14,0,62.7
1,4,6.54,WHEAT,9,3,2.0
44,3,7.03,WHEAT,15,3,97.7
8,4,5.19,CHANA,13,0,9.7
24,6,7.1,MAIZE,11,1,32.3
11,4,4.6,CHANA,16,3,9.0
51,4,7.24,PADDY,15,4,100.0
17,4,4.86,MAIZE,10,3,22.4
8,5,6.44,SOYBEAN,10,3,10.0
35,5,5.25,CHANA,11,4,41.7
35,5,7.01,MAIZE,16,2,43.6
33,6,6.04,SOYBEAN,16,1,29.5
59,2,4.91,MAIZE,12,4,165.9
5,5,6.21,SOYBEAN,16,4,8.1
42,4,5.72,MAIZE,13,5,63.6
39,3,6.48,CHANA,15,0,72.4
58,6,7.15,CHANA,15,1,58.9
41,3,5.73,PADDY,14,2,93.2
28,4,5.37,COTTON,11,5,57.4
7,3,4.54,WHEAT,11,4,12.0
9,4,6.22,CHANA,13,5,12.9
8,4,5.71,CHANA,16,2,9.6
12,4,5.62,SOYBEAN,14,5,18.2
34,4,5.05,COTTON,12,5,67.2
33,3,5.79,CHANA,12,5,71.9
48,5,7.45,MAIZE,15,4,65.5
55,3,5.39,COTTON,13,4,133.0
23,4,6.3,WHEAT,8,0,36.4
24,5,6.83,MAIZE,8,3,29.2
37,5,6.75,SOYBEAN,16,1,44.0
35,4,5.49,PADDY,15,0,52.3
44,4,6.33,MAIZE,13,2,71.0
40,5,7.11,WHEAT,8,5,51.9
22,5,4.55,MAIZE,9,4,17.4
27,4,5.81,COTTON,10,5,60.7
35,3,5.17,COTTON,10,4,91.5
1,3,5.67,WHEAT,9,1,2.0
35,3,5.75,COTTON,9,0,80.6
37,4,6.74,MAIZE,13,0,66.9
47,2,4.78,PADDY,14,2,132.0
14,4,6.04,MAIZE,11,0,24.1
3,4,6.19,PADDY,8,0,5.0
1,3,5.98,COTTON,13,3,3.0
5,5,6.7,MAIZE,14,1,6.3
26,4,5.65,COTTON,11,5,57.5
55,2,7.33,PADDY,13,0,236.5
14,5,5.95,COTTON,16,2,21.7
39,2,6.21,CHANA,11,5,134.3
27,4,6.98,SOYBEAN,11,4,53.4
9,4,5.33,MAIZE,12,0,12.3
15,4,4.73,CHANA,10,0,19.5
15,5,6.62,COTTON,9,5,23.3
26,4,5.95,COTTON,16,4,48.4
42,4,7.19,SOYBEAN,8,3,68.4
13,2,7.45,COTTON,12,1,72.9
51,3,5.7,SOYBEAN,12,3,107.1
32,5,5.75,MAIZE,15,2,31.4
39,4,5.72,PADDY,13,5,64.4
49,4,5.47,SOYBEAN,13,0,67.9
52,4,6.85,SOYBEAN,13,3,90.5
32,4,6.78,CHANA,11,1,58.4
